Price,Title,RAM,Hard Drive,Graphics Coprocessor,Number of USB 3.0 Ports,Brand,Series,Operating System,Processor Brand,Item model number,Graphics Card Ram Size,Manufacturer,Form Factor,Processor Type,Processor Speed,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color
814.6400000000001,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",16 DDR4,512 GB SSD,Intel HD Graphics 520,2,HP,HP 17T,Windows 11 Home,Intel,HP,512 GB,HP,Laptop,core_i5,3,other,SSD,Other,17.3,1600,900,2.381358,0,Silver
353.5864,"Laptop Computer,16GB RAM 512GB SSD, Intel Celeron Quad-Core N5095 Processor, Laptop Computers with FHD IPS 1920x1080 Display,2.4/5G WiFi, Bluetooth, Type-C, Mini HDMI, USB 3.0",LPDDR4,512 GB SSD,Intel,2,UGRIHACH,UG-1505,11,Intel,LT1505,2,Intel,Laptop,Celeron,2.4,other,SSD,Intel,15.6,1920,1080,1.6510748800000001,0,other
883.9864000000001,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",4 GB DDR4,128 GB SSD,Integrated,0,SGIN,Laptop,11,Intel,M17S,2,Intel,Laptop,Intel Core i3,2.4 GHz,ddr4,SSD,Intel,17.3,1366,768,1.84611944,0,Black
407.98640000000006,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",8 GB LPDDR5,128 GB SSD,AMD Radeon Graphics,3,acer,Laptop,Windows 11 S,AMD,NX.KJBAA.001,8 GB,Acer,Laptop,Ryzen 3,3,other,SSD,AMD,15.6,1920,1080,1.77808064,0,other
604.5064000000001,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",32 GB DDR4,1 TB SSD,Intel UHD Graphics,1,HP,TPN-Q222,Windows 11 Home,Intel,TPN-Q222,32 GB,HP,Notebook,Intel Core i3,3 GHz,other,SSD,Intel,15.6,1366,768,1.7009699999999999,0,Silver
1340.7152,"Acer Nitro 17 Gaming Laptop AMD Ryzen 7 7840HS Octa-Core CPU 17.3"" FHD 165Hz IPS Display NVIDIA GeForce RTX 4050 16GB DDR5 1TB SSD Wi-Fi 6E RGB Backlit KB AN17-41-R6L9",16 GB DDR5,1 TB SSD,NVIDIA GeForce RTX 4050,4,acer,Nitro 17,Windows 11 Home,AMD,AN17-41-R6L9,6 GB,Acer,Gaming Laptop,AMD Ryzen 7,3,ddr5,SSD,AMD,17.3,1920,1080,2.99824312,0,other
339.9728,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",8 GB DDR4,64 GB SSD,Intel UHD Graphics 600,3,HP,HP Laptop,Windows 11 Home,Intel,HP,8 GB,HP,Laptop,Quad-Core,1.1 GHz,other,eMMC,Intel,14.0,1366,768,1.4696380800000002,0,other
1890.4,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",16 GB DDR4,512 GB SSD,NVIDIA GeForce RTX 4050,3,MSI,Thin GF63 12VE-066US,Windows 11 Home,Intel,THINGF6312066,6,MSI,Gaming Laptop,Intel Core i7,5,ddr4,SSD,Intel,15.6,1920,1080,1.8597271999999998,0,Black
407.932,"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",16 DDR4,128 GB SSD,Intel UHD Graphics,2,hp,DFSFGSGD15,Windows 10,Intel,Laptop,6,hp,Laptop,Quad-core,3.2 GHz,other,SSD,Intel,15.6,1280,720,1.6964340800000002,0,Red
1767.9864000000002,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",LPDDR4,512 GB SSD,Intel HD Graphics 520,3,XKMURT,N16,Windows 11,Intel,Laptop,2,Intel,Laptop,Quad-Core,3,ddr4,SSD,Intel,16.0,1920,1200,1.9368378399999997,0,other
367.1864000000001,"Laptop Computer, Traditional Laptop Computer, 16GB DDR4 512GB SSD, Intel Celeron Quad-Core Processors, 15.6"" 1080P FHD Laptops, 38000mWh Battery, WiFi, Type-C, TF Card, Mini-HDMI",15.99 GB DDR4,512 GB SSD,Intel,2,Maypug,MYLT1505,11,Intel,MYLT1505,6,Intel,Laptop,Celeron,2.9 GHz,ddr4,SSD,Intel,15.6,1920,1080,1.64653896,0,other
