,Price,Title,Hard Drive,Number of USB 3.0 Ports,Brand,Series,Processor Brand,Item model number,Memory Technology,Hard Disk Description,Graphics Chipset Brand,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,MANU_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,HDD_NEW,SSD_NEW,Hybrid_NEW,Flash_Storage_NEW
0,814.6400000000001,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",512  SSD,2,HP,HP 17T,Intel,HP,other,SSD,Other,17.3,1600.0,900.0,2.381358,0,Silver,16.0,Intel,Windows,hp,512,Laptop,Other,3.0,0,0,0,0
1,353.5864,"Laptop Computer,16GB RAM 512GB SSD, Intel Celeron Quad-Core N5095 Processor, Laptop Computers with FHD IPS 1920x1080 Display,2.4/5G WiFi, Bluetooth, Type-C, Mini HDMI, USB 3.0",512  SSD,2,UGRIHACH,UG-1505,Intel,LT1505,other,SSD,Intel,15.6,1920.0,1080.0,1.65107488,0,other,16.0,Intel,Other,Other,2,Laptop,Other,2.4,0,0,0,0
2,883.9864000000001,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",128  SSD,0,SGIN,Laptop,Intel,M17S,ddr4,SSD,Intel,17.3,1366.0,768.0,1.84611944,0,Black,4.0,Intel,Other,Other,2,Laptop,Intel I3,2.4,0,0,0,0
3,407.98640000000006,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",128  SSD,3,acer,Laptop,AMD,NX.KJBAA.001,other,SSD,AMD,15.6,1920.0,1080.0,1.77808064,0,other,8.0,AMD,Windows,acer,8,Laptop,AMD RYZEN 3,3.0,0,0,0,0
4,604.5064000000001,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",1 000 SSD,1,HP,TPN-Q222,Intel,TPN-Q222,other,SSD,Intel,15.6,1366.0,768.0,1.70097,0,Silver,32.0,Intel,Windows,hp,32,Portable,Intel I3,3.0,0,0,0,0
5,1340.7152,"Acer Nitro 17 Gaming Laptop AMD Ryzen 7 7840HS Octa-Core CPU 17.3"" FHD 165Hz IPS Display NVIDIA GeForce RTX 4050 16GB DDR5 1TB SSD Wi-Fi 6E RGB Backlit KB AN17-41-R6L9",1 000 SSD,4,acer,Nitro 17,AMD,AN17-41-R6L9,ddr5,SSD,AMD,17.3,1920.0,1080.0,2.99824312,0,other,16.0,NVIDIA,Windows,acer,6,Gaming,AMD RYZEN 7,3.0,0,0,0,0
6,339.9728,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",64  SSD,3,HP,HP Laptop,Intel,HP,other,Other,Intel,14.0,1366.0,768.0,1.4696380800000002,0,other,8.0,Intel,Windows,hp,8,Laptop,Other,1.1,0,0,0,0
7,1890.4,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",512  SSD,3,MSI,Thin GF63 12VE-066US,Intel,THINGF6312066,ddr4,SSD,Intel,15.6,1920.0,1080.0,1.8597272,0,Black,16.0,NVIDIA,Windows,Other,6,Gaming,Intel I7,5.0,0,0,0,0
8,407.932,"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",128  SSD,2,hp,DFSFGSGD15,Intel,Laptop,other,SSD,Intel,15.6,1280.0,720.0,1.6964340800000002,0,Red,16.0,Intel,Windows,hp,6,Laptop,Other,3.2,0,0,0,0
9,1767.9864000000002,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",512  SSD,3,XKMURT,N16,Intel,Laptop,ddr4,SSD,Intel,16.0,1920.0,1200.0,1.93683784,0,other,16.0,Intel,Windows,Other,2,Laptop,Other,3.0,0,0,0,0
