Price,Title,Brand,Processor Brand,Memory Technology,Hard Disk Description,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,PPI,Total_RAM_Storage,Price_USD,Price_Euro
815,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",hp,Intel,other,SSD,17.3,1600.0,900.0,2.381358,0,Silver,16,Intel,Windows,512,Laptop,Other,3.0,106.11306214269258,528,652.0,570.5
354,"Laptop Computer,16GB RAM 512GB SSD, Intel Celeron Quad-Core N5095 Processor, Laptop Computers with FHD IPS 1920x1080 Display,2.4/5G WiFi, Bluetooth, Type-C, Mini HDMI, USB 3.0",ugrihach,Intel,other,SSD,15.6,1920.0,1080.0,1.65107488,0,other,16,Intel,Other,2,Laptop,Other,2.4,141.21199808219862,18,283.2,247.79999999999998
884,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",sgin,Intel,ddr4,SSD,17.3,1366.0,768.0,1.84611944,0,Black,4,Intel,Other,2,Laptop,Intel I3,2.4,90.58340172449304,6,707.2,618.8
408,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",acer,AMD,other,SSD,15.6,1920.0,1080.0,1.77808064,0,other,8,AMD,Windows,8,Laptop,AMD RYZEN 3,3.0,141.21199808219862,16,326.40000000000003,285.59999999999997
605,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",hp,Intel,other,SSD,15.6,1366.0,768.0,1.70097,0,Silver,32,Intel,Windows,32,Portable,Intel I3,3.0,100.45466986113652,64,484.0,423.5
1341,"Acer Nitro 17 Gaming Laptop AMD Ryzen 7 7840HS Octa-Core CPU 17.3"" FHD 165Hz IPS Display NVIDIA GeForce RTX 4050 16GB DDR5 1TB SSD Wi-Fi 6E RGB Backlit KB AN17-41-R6L9",acer,AMD,ddr5,SSD,17.3,1920.0,1080.0,2.99824312,0,other,16,NVIDIA,Windows,6,Gaming,AMD RYZEN 7,3.0,127.33567457123112,22,1072.8,938.6999999999999
340,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",hp,Intel,other,Other,14.0,1366.0,768.0,1.4696380800000002,0,other,8,Intel,Windows,8,Laptop,Other,1.1,111.93520355955212,16,272.0,237.99999999999997
1890,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",msi,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.8597272,0,Black,16,NVIDIA,Windows,6,Gaming,Intel I7,5.0,141.21199808219862,22,1512.0,1323.0
408,"hp Newest 15.6"" Anti-Glare HD Laptop, Intel Quad-core Processor, 16GB RAM, 128GB SSD+ 128GB JVQ USB Storage, Office 365 1-Year, Up to 11 hrs Long Battery, Win11 S, Scarlet Red",hp,Intel,other,SSD,15.6,1280.0,720.0,1.6964340800000002,0,Red,16,Intel,Windows,6,Laptop,Other,3.2,94.14133205479908,22,326.40000000000003,285.59999999999997
1768,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",xkmurt,Intel,ddr4,SSD,16.0,1920.0,1200.0,1.93683784,0,other,16,Intel,Windows,2,Laptop,Other,3.0,141.50971698084905,18,1414.4,1237.6
367,"Laptop Computer, Traditional Laptop Computer, 16GB DDR4 512GB SSD, Intel Celeron Quad-Core Processors, 15.6"" 1080P FHD Laptops, 38000mWh Battery, WiFi, Type-C, TF Card, Mini-HDMI",maypug,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.64653896,0,other,15,Intel,Other,6,Laptop,Other,2.9,141.21199808219862,21,293.6,256.9
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, Laptop Computers with 1080P FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card",anmesc,Intel,other,Other,15.6,1920.0,1080.0,2.27703184,0,other,16,Intel,Windows,32,Laptop,Other,2.9,141.21199808219862,48,304.8,266.7
